question,answer,language
What is the capital of Bangladesh?,Dhaka is the capital of Bangladesh. It is one of the most densely populated cities in the world and serves as the country's economic and cultural center.,English
বাংলাদেশের রাজধানী কি?,ঢাকা বাংলাদেশের রাজধানী। এটি বিশ্বের সবচেয়ে ঘনবসতিপূর্ণ শহরগুলির মধ্যে একটি এবং দেশের অর্থনৈতিক ও সাংস্কৃতিক কেন্দ্র।,Bengali
Who wrote 'Gitanjali'?,"Rabindranath Tagore wrote 'Gitanjali', for which he won the Nobel Prize in Literature in 1913. It's a collection of poems that was originally written in Bengali and later translated to English by Tagore himself.",English
গীতাঞ্জলি কে লিখেছেন?,"রবীন্দ্রনাথ ঠাকুর গীতাঞ্জলি লিখেছেন, যার জন্য তিনি ১৯১৩ সালে সাহিত্যে নোবেল পুরস্কার পেয়েছিলেন। এটি কবিতার একটি সংকলন যা মূলত বাংলায় লেখা হয়েছিল এবং পরে ঠাকুর নিজেই এটি ইংরেজিতে অনুবাদ করেন।",Bengali
What is machine learning?,Machine learning is a branch of artificial intelligence that enables systems to learn and improve from experience without being explicitly programmed. It uses statistical techniques to allow computers to 'learn' from data.,English
মেশিন লার্নিং কি?,মেশিন লার্নিং হল আর্টিফিশিয়াল ইন্টেলিজেন্সের একটি শাখা যা সিস্টেমগুলিকে সুস্পষ্টভাবে প্রোগ্রাম না করেই অভিজ্ঞতা থেকে শেখার ও উন্নত করার ক্ষমতা দেয়। এটি কম্পিউটারগুলিকে ডেটা থেকে 'শেখার' জন্য পরিসংখ্যানগত কৌশল ব্যবহার করে।,Bengali
How to make Bengali fish curry?,"To make Bengali fish curry, marinate fish pieces with turmeric and salt. Heat mustard oil, add cumin seeds, onions, ginger-garlic paste. Add tomatoes, spices, and cook. Add fish, simmer until done. Garnish with coriander leaves.",English
বাঙালি মাছের ঝোল কিভাবে রান্না করবেন?,"বাঙালি মাছের ঝোল রান্না করতে, প্রথমে মাছের টুকরোগুলিতে হলুদ ও লবণ মাখিয়ে রাখুন। সরষের তেল গরম করে জিরা, পেঁয়াজ, আদা-রসুন বাটা দিন। টমেটো, মশলা দিয়ে কষান। মাছ দিয়ে ঝোল ঢেলে নামিয়ে ধনেপাতা দিয়ে সাজান।",Bengali
What are the basic steps to learn programming?,The basic steps to learn programming include: 1) Choose a programming language 2) Learn basic syntax and concepts 3) Practice with simple programs 4) Understand data structures and algorithms 5) Work on small projects 6) Learn debugging techniques 7) Practice consistently.,English
প্রোগ্রামিং শেখার মৌলিক পদক্ষেপগুলি কি কি?,প্রোগ্রামিং শেখার মৌলিক পদক্ষেপগুলি হল: ১) একটি প্রোগ্রামিং ভাষা বেছে নিন ২) মৌলিক সিনট্যাক্স ও ধারণাগুলি শিখুন ৩) সহজ প্রোগ্রাম দিয়ে অনুশীলন করুন ৪) ডেটা স্ট্রাকচার ও অ্যালগরিদম বুঝুন ৫) ছোট প্রজেক্ট করুন ৬) ডিবাগিং কৌশল শিখুন ৭) ধারাবাহিকভাবে অনুশীলন করুন।,Bengali
What is climate change?,"Climate change refers to long-term shifts in global weather patterns and average temperatures. It's primarily caused by human activities that increase greenhouse gas emissions, leading to global warming, rising sea levels, and extreme weather events.",English
জলবায়ু পরিবর্তন কি?,"জলবায়ু পরিবর্তন হল বিশ্বব্যাপী আবহাওয়ার প্যাটার্ন এবং গড় তাপমাত্রার দীর্ঘমেয়াদি পরিবর্তন। এটি প্রধানত মানুষের কার্যকলাপের কারণে গ্রীনহাউস গ্যাস নির্গমন বৃদ্ধির ফলে হয়, যা গ্লোবাল ওয়ার্মিং, সমুদ্রপৃষ্ঠের উচ্চতা বৃদ্ধি এবং চরম আবহাওয়ার ঘটনার দিকে পরিচালিত করে।",Bengali
